// test
// Maps a foreign infobox template name to the English name.
// INTERNAL

	"insel"@de	<_hasTranslation>	"islands"@en
	"drama"@de	<_hasTranslation>	"play"@en
	"region (italien)"@de	<_hasTranslation>	"region of italy"@en
	"völkerrechtlicher vertrag"@de	<_hasTranslation>	"treaty"@en
	"behörde"@de	<_hasTranslation>	"government agency"@en
	"eishockeyclub europa"@de	<_hasTranslation>	"hockey team"@en
	"badmintonspieler"@de	<_hasTranslation>	"badminton player"@en
	"oper"@de	<_hasTranslation>	"opera"@en
	"wappen"@de	<_hasTranslation>	"coat of arms"@en
	"sternbild"@de	<_hasTranslation>	"constellation"@en
	"teleskop"@de	<_hasTranslation>	"telescope"@en
	"mlb player"@de	<_hasTranslation>	"mlb player"@en
	"sportliga"@de	<_hasTranslation>	"sports league"@en
	"berg"@de	<_hasTranslation>	"mountain"@en
	"metropolitan county"@de	<_hasTranslation>	"england county"@en
	"mineral"@de	<_hasTranslation>	"mineral"@en
	"parlament"@de	<_hasTranslation>	"legislature"@en
	"flughafen"@de	<_hasTranslation>	"airport"@en
	"computer- und videospiel"@de	<_hasTranslation>	"video game"@en
	"brücke"@de	<_hasTranslation>	"bridge"@en
	"eishockeyspieler"@de	<_hasTranslation>	"ice hockey player"@en
	"ort"@de	<_hasTranslation>	"settlement"@en
	"nationalpark"@de	<_hasTranslation>	"protected area"@en
	"basketballspieler"@de	<_hasTranslation>	"basketball biography"@en
	"planet"@de	<_hasTranslation>	"planet"@en
	"website"@de	<_hasTranslation>	"website"@en
	"welterbe"@de	<_hasTranslation>	"world heritage site"@en
	"musikalbum"@de	<_hasTranslation>	"album"@en
	"höhle"@de	<_hasTranslation>	"cave"@en
	"gemälde"@de	<_hasTranslation>	"artwork"@en
	"föderationssubjekt russlands"@de	<_hasTranslation>	"russian federal subject"@en
	"verband"@de	<_hasTranslation>	"organization"@en
	"us-bundesstaat"@de	<_hasTranslation>	"u.s. state"@en
	"museum"@de	<_hasTranslation>	"museum"@en
	"politische partei in den usa"@de	<_hasTranslation>	"american political party"@en
	"musical"@de	<_hasTranslation>	"musical"@en
