	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Campania>	<infobox/en/area>	"13590"^^xsd:integer
	<Campania>	<infobox/en/area>	"13590"
	<Campania>	<infobox/en/areapercent>	"4.5"^^xsd:decimal
	<Campania>	<infobox/en/arearank>	"12"^^xsd:integer
	<Campania>	<infobox/en/arearank>	"12th"
	<Campania>	<infobox/en/capital>	"Naples"
	<Campania>	<infobox/en/coasize>	"50"^^<px>
	<Campania>	<infobox/en/coasize>	"50px"
	<Campania>	<infobox/en/gdp>	"96.3"^^xsd:decimal
	<Campania>	<infobox/en/gdpcapyear>	"2008"^^xsd:integer
	<Campania>	<infobox/en/gdpcapyear>	"2008"
	<Campania>	<infobox/en/gdpcapyear>	"2008-##-##"^^xsd:date
	<Campania>	<infobox/en/gdppercapita>	"16400"^^xsd:integer
	<Campania>	<infobox/en/gdppercapita>	"400-##-##"^^xsd:date
	<Campania>	<infobox/en/gdpyear>	"2008"^^xsd:integer
	<Campania>	<infobox/en/gdpyear>	"2008"
	<Campania>	<infobox/en/gdpyear>	"2008-##-##"^^xsd:date
	<Campania>	<infobox/en/italianname>	"Campania"
	<Campania>	<infobox/en/leader>	<Stefano_Caldoro>
	<Campania>	<infobox/en/leader>	"Stefano Caldoro"
	<Campania>	<infobox/en/leaderparty>	<PdL>
	<Campania>	<infobox/en/leaderparty>	"PdL"
	<Campania>	<infobox/en/name>	"Campania"
	<Campania>	<infobox/en/nuts>	"ITF"
	<Campania>	<infobox/en/popdate>	"30"^^xsd:integer
	<Campania>	<infobox/en/popdate>	"-4"^^xsd:integer
	<Campania>	<infobox/en/popdate>	"-2011"^^xsd:integer
	<Campania>	<infobox/en/popdate>	"2011-##-##"^^xsd:date
	<Campania>	<infobox/en/poppercent>	"9.7"^^xsd:decimal
	<Campania>	<infobox/en/poprank>	"2"^^xsd:integer
	<Campania>	<infobox/en/poprank>	"2nd"
	<Campania>	<infobox/en/population>	"5954.882"^^xsd:decimal
	<Campania>	<infobox/en/population>	"954-##-##"^^xsd:date
	<Campania>	<infobox/en/population>	"882-##-##"^^xsd:date
	<Campania>	<infobox/en/website>	<http://www.regione.campania.it/>
	<Campania>	<infobox/en/website>	<http://www.regione.campania.it>
	<Carlo_Azeglio_Ciampi>	<infobox/en/almamater>	<Scuola_Normale_Superiore_di_Pisa>
	<Carlo_Azeglio_Ciampi>	<infobox/en/almamater>	<University_of_Pisa>
	<Carlo_Azeglio_Ciampi>	<infobox/en/almamater>	"Scuola Normale Superiore di Pisa"
	<Carlo_Azeglio_Ciampi>	<infobox/en/almamater>	"University of Pisa"
	<Carlo_Azeglio_Ciampi>	<infobox/en/birthdate>	"1920"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/birthdate>	"12"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/birthdate>	"9"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/birthdate>	"1920-12-09"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/birthplace>	<Livorno>
	<Carlo_Azeglio_Ciampi>	<infobox/en/birthplace>	"Livorno"
	<Carlo_Azeglio_Ciampi>	<infobox/en/constituency>	<Former_president>
	<Carlo_Azeglio_Ciampi>	<infobox/en/constituency>	"Former president"
	<Carlo_Azeglio_Ciampi>	<infobox/en/name>	<Carlo_Azeglio_Ciampi>
	<Carlo_Azeglio_Ciampi>	<infobox/en/name>	"Carlo Azeglio Ciampi"
	<Carlo_Azeglio_Ciampi>	<infobox/en/nationality>	<Italians>
	<Carlo_Azeglio_Ciampi>	<infobox/en/nationality>	"Italian"
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	<Prime_Minister_of_Italy>
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"49"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"Prime Minister of Italy"
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	<Banca_d'Italia>
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"Governor of Banca d'Italia"
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	<Italian_Minister_of_Tourism>
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"Italian Minister of Tourism"
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	<Italian_Minister_of_the_Interior>
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"Italian Minister of the Interior"
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	<President_of_Italy>
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"10"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"10th"
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"President of Italy"
	<Carlo_Azeglio_Ciampi>	<infobox/en/order>	"Senator for Life"
	<Carlo_Azeglio_Ciampi>	<infobox/en/party>	<Action_Party_(Italy)>
	<Carlo_Azeglio_Ciampi>	<infobox/en/party>	"1943"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/party>	"-1947"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/party>	"Action Party 1943-1947"
	<Carlo_Azeglio_Ciampi>	<infobox/en/party>	"1943-##-##"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/party>	"1947-##-##"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	<Paolo_Baffi>
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"Paolo Baffi"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	<Giuliano_Amato>
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"Giuliano Amato"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	<Lamberto_Dini>
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	<Mario_Arcelli>
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"Lamberto Dini"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"as Minister of exchequer"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"Mario Arcelli"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"as Minister of budget and economy programming"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	<Margherita_Boniver>
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"Margherita Boniver"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	<Nicola_Mancino>
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"Nicola Mancino"
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	<Oscar_Luigi_Scalfaro>
	<Carlo_Azeglio_Ciampi>	<infobox/en/predecessor>	"Oscar Luigi Scalfaro"
	<Carlo_Azeglio_Ciampi>	<infobox/en/president>	<Oscar_Luigi_Scalfaro>
	<Carlo_Azeglio_Ciampi>	<infobox/en/president>	"Oscar Luigi Scalfaro"
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	"himself"
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	<Massimo_D'Alema>
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	<Giuliano_Amato>
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	<Silvio_Berlusconi>
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	"Massimo D'Alema"
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	"Giuliano Amato"
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	"Silvio Berlusconi"
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	<Romano_Prodi>
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	<Massimo_D'Alema>
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	"Romano Prodi"
	<Carlo_Azeglio_Ciampi>	<infobox/en/primeminister>	"Massimo D'Alema"
	<Carlo_Azeglio_Ciampi>	<infobox/en/profession>	<wordnet_economist_110043643>
	<Carlo_Azeglio_Ciampi>	<infobox/en/profession>	<wordnet_politician_110451263>
	<Carlo_Azeglio_Ciampi>	<infobox/en/profession>	"Economist"
	<Carlo_Azeglio_Ciampi>	<infobox/en/profession>	"Politician"
	<Carlo_Azeglio_Ciampi>	<infobox/en/religion>	<Roman_Catholicism>
	<Carlo_Azeglio_Ciampi>	<infobox/en/religion>	"Roman Catholicism"
	<Carlo_Azeglio_Ciampi>	<infobox/en/spouse>	<Franca_Pilla>
	<Carlo_Azeglio_Ciampi>	<infobox/en/spouse>	"Franca Pilla"
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	<Domenico_Fisichella>
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	"Domenico Fisichella"
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	<Antonio_Fazio>
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	"Antonio Fazio"
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	<Giorgio_Napolitano>
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	"Giorgio Napolitano"
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	<Giuliano_Amato>
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	"Giuliano Amato"
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	<Roberto_Maroni>
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	"Roberto Maroni"
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	<Silvio_Berlusconi>
	<Carlo_Azeglio_Ciampi>	<infobox/en/successor>	"Silvio Berlusconi"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"10"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"1994"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"10 May 1994"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"1994-05-10"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"13"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"1999"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"13 May 1999"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"1999-05-13"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"15"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"2006"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"15 May 2006"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"2006-05-15"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"1993"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"1993"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termend>	"1993-##-##"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"17"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1996"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"17 July 1996"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1996-07-17"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"18"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1999"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"18 May 1999"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1999-05-18"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"18"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"2006"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"18 May 2006"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"2006-05-18"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"19"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1994"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"19 April 1994"
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1994-04-19"^^xsd:date
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1979"^^xsd:integer
	<Carlo_Azeglio_Ciampi>	<infobox/en/termstart>	"1979"
