// Test
// Attributes of the Wikipedia infoboxes in different languages with their YAGO counterparts.
// INTERNAL

	<infobox/en/profession>	<_infoboxPattern>	rdf:type
	<infobox/en/established>	<_infoboxPattern>	<wasCreatedOnDate>
	<infobox/en/population>	<_infoboxPattern>	<hasNumberOfPeople>
	<infobox/en/nativename>	<_infoboxPattern>	rdfs:label
	<infobox/en/occupation>	<_infoboxPattern>	rdf:type
	<infobox/en/foundation>	<_infoboxPattern>	<wasCreatedOnDate>
	<infobox/en/birthdate>	<_infoboxPattern>	<wasBornOnDate>
	<infobox/en/website>	<_infoboxPattern>	<hasWebsite>
	<infobox/en/commonname>	<_infoboxPattern>	rdfs:label
	<infobox/en/birthname>	<_infoboxPattern>	rdfs:label
